agent_0,agent_1,agent_2,agent_3,agent_4
13,13,13,13,13
17,4,4,4,4
85,79,85,79,79
26,6,6,6,6
72,72,72,90,72
72,72,72,72,72
36,40,36,36,36
1,0,0,0,0
8,8,8,8,8
43,43,2,2,43
7,7,7,7,7
-9999,39,39,39,39
1,3,3,3,3
2,3,3,3,2
8,8,9,8,9
19,19,19,19,19
48,48,8,48,6
26,36,36,36,36
15,15,15,15,15
65,22,40,22,40
4,4,7,4,4
64,64,64,64,64
5,2,5,0,3
18,18,18,18,18
63,63,63,11,63
7,7,7,7,7
28,63,28,63,28
0,10,1,35,10
63,47,47,47,47
26,26,26,26,26
3,3,3,3,3
20,32,32,32,32
7,7,7,7,7
5,5,5,5,5
35,35,35,35,35
45,45,45,45,45
8,8,8,8,8
60,60,60,60,60
4,4,4,4,4
24,24,24,24,24
46,43,43,43,43
7,7,7,7,7
67,67,67,67,67
3,3,3,3,3
8,8,8,8,7
66,46,46,46,28
9,9,9,9,9
9,9,9,9,9
30,30,30,30,30
5,5,5,5,5
7,7,7,7,7
5,5,5,5,5
72,72,72,72,72
7,7,7,7,7
9,63,63,63,63
54,108,32,108,60
30,30,30,30,30
6,6,6,6,6
56,96,96,96,96
72,72,72,72,72
51,34,34,34,34
41,41,41,41,41
4,4,4,4,4
8,9,9,9,9
7,7,7,7,7
5,5,5,5,5
-9999,6,-9999,-9999,6
3,3,3,3,3
8,8,8,8,8
44,30,30,30,34
16,16,16,16,16
2,6,6,6,6
55,55,55,55,55
10,9,7,9,9
27,3,3,3,3
1,28,28,28,28
50,30,30,30,30
53,53,53,53,53
52,52,52,52,52
36,50,50,86,50
30,15,15,15,14
32,39,39,39,27
2,2,2,2,2
63,66,66,66,66
72,68,72,72,72
465,9,9,9,9
45,45,45,45,45
30,40,40,40,20
48,48,48,48,48
2,2,2,2,2
74,74,74,74,74
9,9,9,9,9
80,80,80,80,80
33,33,33,33,33
35,35,35,35,35
30,18,18,18,30
9,9,12,9,9
75,30,30,30,4
6,6,6,6,6
32,17,17,17,17
8,8,8,8,8
38,40,48,40,48
54,79,79,79,79
4,0,0,0,0
9,9,9,9,9
32,16,16,16,32
4,4,4,4,4
3,3,3,3,3
16,30,26,30,10
40,72,72,72,72
6,8,8,8,8
2,10,10,10,0
25,15,15,15,15
3,3,3,3,3
26,42,42,42,42
30,30,30,30,30
80,80,80,80,80
72,72,60,60,72
9,9,9,9,9
5,6,6,6,6
27,27,27,27,27
2,2,2,2,2
20,20,20,20,20
22,6,6,2,6
8,8,8,8,8
46,52,52,48,48
4,5,5,5,4
7,7,7,7,3
48,16,16,16,32
54,54,54,54,54
16,16,16,16,16
20,20,20,20,20
34,42,42,42,42
8,8,8,8,8
8,8,8,8,8
11,11,16,11,16
3,3,3,3,3
13,11,11,11,11
4,4,4,4,4
48,48,48,48,48
11,10,55,10,35
32,24,36,30,36
5,3,3,3,3
8,8,8,8,8
35,35,35,35,35
0,0,0,0,0
15,31,31,31,23
9,9,9,9,9
2,2,2,2,2
56,56,56,20,56
69,61,61,61,61
9,9,9,9,9
7,7,7,7,7
7,7,7,7,7
35,31,31,31,31
19,39,39,29,39
15,63,63,63,63
0,32,32,32,4
60,30,30,30,60
72,36,60,60,60
9,9,9,9,9
12,12,12,12,12
3,3,3,3,3
18,16,16,16,16
7,7,7,7,7
9,39,63,39,63
48,48,48,48,48
54,13,13,13,13
18,18,18,18,18
7,13,13,7,7
21,31,31,31,31
17,2,2,2,51
9,9,9,9,5
61,61,61,61,61
62,50,50,63,63
15,15,15,15,15
80,80,80,80,80
21,35,35,35,35
34,34,34,34,34
61,20,20,20,61
